WigleWifi-1.4,appRelease=2.26,model=SM-G950F,release=7.0,device=dreamlte,display=NRD90M.G950FXXU1AQJ5,board=universal8895,brand=samsung,,,
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
40:65:a3:35:4c:c4,Efrat,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],01/12/2017 10:49,1,-75,32.17218268,34.81446402,13.65040889,6,WIFI
08:97:58:32:69:c6,Volvo247,[WPA2-PSK-CCMP][WPS][ESS],01/12/2017 10:49,4,-81,32.17220926,34.8144483,15.37643594,8,WIFI
14:ae:db:58:73:75,love,[WPA2-PSK-CCMP][ESS],01/12/2017 10:49,1,-78,32.17225088,34.81436692,25.86914313,4,WIFI
00:12:2a:35:c8:7c,Chakir,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS][BLE],01/12/2017 10:49,1,-86,32.17228483,34.8140369,30.59005383,3,WIFI
c4:a8:1d:12:7d:4c,Orit,[WPA2-PSK-CCMP][ESS][BLE],01/12/2017 10:49,6,-69,32.17230734,34.81387686,30.93962047,3,WIFI
20:0c:c8:1b:a2:48,Mevohot_1,[WPA2-PSK-CCMP][WPS][ESS][BLE],01/12/2017 10:49,6,-70,32.17238269,34.81336125,31.34185373,3,WIFI
42501_13111_7943940,Partner,UNKNOWN;il,01/12/2017 10:50,0,-105,32.17241357,34.81308168,31.47562003,2,GSM
80:26:89:0d:4f:84,DIR-825-4f83,[WPA2-PSK-CCMP][WPS][ESS],01/12/2017 10:50,1,-77,32.17244003,34.81291471,31.60427366,3,WIFI
80:26:89:0d:4f:84,DIR-825-4f83,[WPA2-PSK-CCMP][WPS][ESS],01/12/2017 10:50,1,-68,32.17244003,34.81291471,31.60427366,3,WIFI
42501_13111_7943940,Partner,UNKNOWN;il,01/12/2017 10:50,0,-99,32.17244003,34.81291471,31.60427366,3,GSM
08:97:58:32:d2:98,NIPPON_3687,[WPA-PSK-CCMP][WPS][ESS],01/12/2017 10:50,2,-88,32.17248382,34.81269385,31.65514378,2,WIFI
08:97:58:32:d2:98,NIPPON_3687,[WPA-PSK-CCMP][WPS][ESS],01/12/2017 10:50,2,-80,32.17252252,34.81247912,31.6513231,6,WIFI
00:78:9e:f9:e8:58,Hotbox,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],01/12/2017 10:50,11,-91,32.17252252,34.81247912,31.6513231,6,WIFI
